angle1,angle2,step
90.0,270.0,0
91.02869964891222,269.0623664055832,1
92.05246483586653,268.13042706949307,2
93.07064542759421,267.2048682307508,3
94.08262837503767,266.2863441012263,4
95.08783902295609,265.37547512526544,5
96.08574203948265,264.47284657508436,6
97.07584197839527,263.5790074791058,7
98.05768349164589,262.69446987562986,8
99.03085121373314,261.81970837994317,9
99.99496934276989,260.95516004923485,10
100.94970094558518,260.1012245265512,11
101.8947470159328,259.2582644425023,12
102.82984531589177,258.4266060515314,13
103.75476903089425,257.6065400782631,14
104.66932526857026,256.7983227487133,15
105.57335343083213,256.0021769809424,16
106.46672348741163,255.21829370999689,17
107.3493341774949,254.44683332266283,18
108.22111116424752,253.68792717857744,19
109.0820051649687,252.9416791955478,20
109.93199007742034,252.2081674784494,21
110.7710611206164,251.48744597275564,22
111.5992330060801,250.77954612553023,23
112.41653815333196,250.08447853854602,24
113.2230249612006,249.4022346000306,25
114.01875614448117,248.73278808334828,26
114.80380714352904,248.07609670267178,27
115.57826461258652,247.4321036173572,28
116.34222499100781,246.8007388782901,29
117.0957931600817,246.1819208109094,30
117.83908118684943,245.5755573309242,31
118.57220715517911,244.98154718992532,32
119.29529408337883,244.39978114914257,33
120.00846892680212,243.83014308052603,34
120.71186166321347,243.27251099513396,35
121.40560445812292,242.72675799949613,36
122.0898309068609,242.19275318120359,37
122.76467534983288,241.6703624254565,38
123.43027225715575,241.15944916469218,39
124.08675567872386,240.65987506372602,40
124.73425875567193,240.17150064307646,41
125.37291328918026,239.69418584331592,42
126.00284936260068,239.22779053341432,43
126.62419501295494,238.7721749661051,44
127.23707594796734,238.32720018334092,45
127.84161530492872,237.89272837489565,46
128.43793344784757,237.4686231931405,47
129.0261477995154,237.0547500269622,48
129.60637270529708,236.6509762377176,49
130.17871932564623,236.2571713600249,50
130.74329555453605,235.87320727009282,51
131.30020596118865,235.49895832417414,52
131.8495517526732,235.134301469614,53
132.3914307551276,234.77911633084153,54
132.92593741153487,234.43328527252913,55
133.45316279415633,234.09669344202058,56
133.97319462988432,233.76922879300292,57
134.4861173369307,233.4507820922778,58
134.99201207141053,233.1412469113663,59
135.49095678251484,232.84051960456657,60
135.98302627509204,232.54849927496892,61
136.46829227857157,232.26508772982731,62
136.94682352127276,231.99018942657983,63
137.41868580923864,231.72371141071264,64
137.8839421088248,231.46556324656788,65
138.34265263235616,231.21565694210523,66
138.79487492623946,230.97390686854294,67
139.24066396098652,230.74022967572523,68
139.6800722226664,230.51454420398676,69
140.11314980535846,230.29677139321538,70
140.53994450422937,230.0868341897501,71
140.96050190890244,229.88465745168799,72
141.37486549682617,229.69016785312027,73
141.78307672638675,229.50329378776257,74
142.18517512953954,229.32396527239885,75
142.5811984037646,229.15211385051242,76
142.97118250317416,228.98767249643646,77
143.35516172862495,228.8305755203221,78
143.73316881670536,228.6807584741841,79
144.10523502748592,228.5381580592568,80
144.47139023093652,228.40271203486319,81
