arm1,arm2,arm3,step
1.4142135623730951,1.4142135623730951,1.4142135623730951,0
1.4103149361891234,1.410121002065937,1.4095672566100643,1
1.4064392291325172,1.406052468019787,1.4049459776892095,2
1.402586645999205,1.402008200878405,1.400350061687795,3
1.3987573898059882,1.3979884412966752,1.3957798427712413,4
1.3949516617183595,1.3939934298695242,1.3912356530610117,5
1.3911696609783823,1.3900234070593145,1.3867178225017727,6
1.3874115848326907,1.386078613121748,1.3822266787279485,7
1.3836776284606647,1.3821592880303042,1.3777625469298111,8
1.379967984902841,1.378265671399254,1.3733257497192415,9
1.3762828449896216,1.3743980024052806,1.368916606995309,10
1.3726223972703389,1.3705565197077492,1.3645354358098167,11
1.3689868279427433,1.366741461367673,1.3601825502329696,12
1.3653763207829772,1.3629530647654122,1.3558582612193164,13
1.3617910570760974,1.359191566517167,1.3515628764741328,14
1.358231215547219,1.3554572023903022,1.3472967003204104,15
1.3546969722933413,1.3517502072175744,1.3430600335666174,16
1.3511885007159314,1.3480708148103047,1.338853173375407,17
1.347705971454329,1.344419257870567,1.334676413133443,18
1.344249552320046,1.3407957679024531,1.3305300423225264,19
1.340819408232035,1.3372005751224798,1.3264143463921991,20
1.337415701152992,1.3336339083692075,1.322329606634005,21
1.3340385900267697,1.3300959950121443,1.3182761000575944,22
1.3306882307169816,1.3265870608600072,1.3142540992688563,23
1.3273647759468556,1.3231073300684186,1.3102638723502587,24
1.3240683752404279,1.3196570250471191,1.3063056827435875,25
1.32079917486514,1.316236366366777,1.3023797891352673,26
1.317557317775922,1.3128455726654777,1.2984864453444445,27
1.3143429435608316,1.3094848605549823,1.2946259002140217,28
1.3111561883883278,1.306154444526841,1.2907983975048212,29
1.3079971849562557,1.302854536858453,1.2870041757930581,30
1.3048660624426134,1.299585347519165,1.2832434683712997,31
1.3017629464581786,1.2963470840765008,1.279516503153083,32
1.2986879590010725,1.2931399516026176,1.275823502581366,33
1.29564121841333,1.289964152581087,1.272164683540971,34
1.2926228393395531,1.2868198868140936,1.2685402572751847,35
1.2896329326877223,1.2837073513301558,1.2649504293066747,36
1.2866716055922323,1.2806267402924625,1.2613953993628635,37
1.2837389613792307,1.277578244907928,1.2578753613059126,38
