angle1,angle2,step
90.0,270.0,0
91.37706318397882,268.70204527440166,1
92.73897361721315,267.420300689905,2
94.08409900851687,266.1564627336386,3
95.41099251336833,264.91205415126603,4
96.71839379380768,263.68842114254295,5
98.00522698986835,262.48673351553975,6
99.27059598140936,261.3079874942044,7
100.51377735518264,260.1530108309829,8
101.73421150628076,259.0224698526612,9
102.93149229863593,257.9168780615406,10
104.10535568942717,256.8366059229271,11
105.25566769076448,255.78189149074115,12
106.38241200244751,254.75285155279127,13
107.48567760524145,253.74949301292878,14
108.56564655783296,252.7717242662741,15
109.62258219476483,251.8193663636721,16
110.65681787900549,250.89216380066077,17
111.6687464226723,249.98979480312724,18
112.65881025361949,249.1118810155008,19
113.62749237454905,248.25799652719851,20
114.57530813511154,247.42767619881835,21
115.50279781600287,246.62042327123547,22
116.41052000701916,245.83571625846082,23
117.29904574799397,245.0730151391647,24
118.16895339202404,244.33176687251634,25
119.0208241438962,243.61141027186372,26
119.85523822266437,242.91138027519642,27
120.67277159542759,242.23111165471062,28
121.47399322910731,241.57004220950267,29
122.25946280803706,240.9276154858127,30
123.02972886714139,240.30328306860602,31
123.78532729311476,239.69650648689205,32
124.5267801490936,239.10675877323712,33
125.25459478166083,238.53352571561894,34
125.96926317248464,237.97630683722943,35
126.6712615003653,237.4346161371776,36
127.36104988285449,236.90798262235464,37
128.03907226986684,236.39595065807148,38
128.7057564647758,235.89808016250652,39
129.36151425135157,235.41394666754383,40
130.0067416075442,234.94314126626125,41
130.6418189895311,234.48527046515608,42
131.26711167164046,234.03995595718024,43
131.882970129737,233.60683432980147,44
132.48973045741943,233.18555672060072,45
133.08771480595107,232.77578843136922,46
133.67723184023234,232.3772085102571,47
134.25857720434658,231.98950931025638,48
134.83203399127925,231.6123960311577,49
135.39787321234485,231.24558625109398,50
135.95635426266387,230.88880945287292,51
136.50772537973057,230.54180654948493,52
137.05222409271485,230.20432941245446,53
137.59007766065363,229.87614040606894,54
138.12150349812566,229.55701192995997,55
138.64670958737526,229.24672597202596,56
139.1658948761608,228.9450736732598,57
139.6792496608662,228.65185490567785,58
140.18695595463103,228.36687786423036,59
140.6891878404322,228.08995867330222,60
141.18611180919785,227.82092100818284,61
141.67788708315067,227.55959573168863,62
142.1646659246725,227.30582054596002,63
142.6465939310542,227.05943965932,64
143.12381031555256,226.82030346797043,65
143.5964481752148,226.5882682522149,66
144.0646347459629,226.3631958868259,67
144.52849164544716,226.1449535651206,68
144.98813510418938,225.9334135362696,69
145.44367618553994,225.72845285533427,70
145.89522099497032,225.5299531455101,71
146.3428708792171,225.33780037204403,72
146.7867226157821,225.15188462729054,73
147.2268685932816,224.9720999263739,74
147.66339698312183,224.79834401293266,75
148.09639190296164,224.6305181744327,76
148.52593357240627,224.46852706655076,77
148.95209846135694,224.3122785461459,78
149.37495943142298,224.1616835123561,79
149.79458587078432,224.01665575537564,80
150.21104382287405,223.87711181249014,81
150.6243961092314,223.7429708309664,82
151.03470244685863,223.61415443741558,83
151.4420195603972,223.4905866132682,84
151.84640128942223,223.37219357602171,85
152.2478986911373,223.2589036659389,86
152.64656013873693,223.15064723789732,87
153.0424314156884,223.0473565581067,88
153.4355558061704,222.9489657054312,89
153.82597418189306,222.85541047706832,90
154.21372508551,222.76662829835564,91
154.59884481082165,222.68255813648895,92
154.98136747995642,222.60314041795272,93
155.36132511770668,222.52831694947653,94
155.73874772318436,222.45803084234433,95
156.11366333895208,222.39222643989623,96
156.4860981177766,222.33084924807352,97
156.85607638714092,222.27384586886905,98
157.22362071164517,222.22116393655483,99
157.58875195341628,222.17275205656858,100
157.95148933064002,222.1285597469495,101
158.31185047432197,222.08853738222194,102
