angle1,angle2,step
37.88209120044207,110.92025502783069,0
38.709536920997145,110.25577161877823,1
39.49844045607949,109.63608080864958,2
40.2523732225657,109.05767944269881,3
40.97443674296404,108.51744602815063,4
41.66734211752456,108.01258584462471,5
42.333472984132506,107.54058622521784,6
42.974936013610666,107.09917967758378,7
43.593601856046114,106.68631314485329,8
44.191138673774965,106.30012214334354,9
44.76903984924076,105.93890882303334,10
45.32864706526871,105.60112321922001,11
45.87116967220109,105.28534712656628,12
46.39770104830546,104.99028014772263,13
46.90923250501369,104.71472755989802,14
47.406665171901786,104.45758971239418,15
47.890820207476665,104.21785272195599,16
48.36244761347431,103.99458027488228,17
48.822233877266235,103.78690637809497,18
49.27080862534574,103.59402892788847,19
49.708750437966664,103.4152039864297,20
50.136591948804124,103.24974067340021,21
50.5548243324794,103.09699659433683,22
50.96390126580692,102.95637373888843,23
51.364242434808595,102.82731479187215,24
51.75623664824359,102.70929980807003,25
52.14024460910627,102.60184320846258,26
52.516601387856745,102.5044910612881,27
52.88561863475797,102.4168186161351,28
53.247586563353714,102.33842806337431,29
53.602775732643025,102.26894649473421,30
53.95143865173233,102.20802404382331,31
54.293811227552716,102.1553321879808,32
54.63011407351808,102.11056219506207,33
54.96055369468914,102.07342370069136,34
55.28532356303108,102.04364340318435,35
55.604605094656954,102.0209638647984,36
55.91856853948989,102.00514240923602,37
56.22737379251741,101.99595010643645,38
56.531171134721106,101.99317083666251,39
56.83010191081959,101.99660042674246,40
57.12429915013918,102.00604585207839,41
57.41388813621056,102.02132449869359,42
57.69898693006179,102.0422634801763,43
57.97970685163004,102.06869900489392,44
58.25615292323236,102.10047578930931,45
58.52842427861233,102.13744651363761,46
58.796614540706884,102.17947131644249,47
59.06081217094765,102.22641732509263,48
59.32110079262137,102.27815821928492,49
59.5775594905549,102.33457382509702,50
59.83026308916364,102.39554973726008,51
60.0792824106977,102.46097696754663,52
60.32468451534073,102.53075161735286,53
60.56653292465527,102.60477457271759,54
60.804887829725075,102.68295122016941,55
61.03980628521693,102.76519118192607,56
61.27134239047001,102.85140806908966,57
61.49954745861802,102.94151925159079,58
61.72447017465781,103.03544564373176,59
61.94615674329548,103.13311150426802,60
62.16465102732652,103.23444425004787,61
62.37999467724045,103.33937428230325,62
62.59222725267968,103.44783482475115,63
62.80138633632848,103.55976177272622,64
63.007507640758924,103.67509355262001,65
63.210625108716464,103.79377099095407,66
63.41077100728752,103.91573719245932,67
63.60797601635603,104.0409374265781,68
63.80226931172169,104.1693190218442,69
63.99367864322452,104.30083126763175,70
64.18223040819167,104.43542532279847,71
64.36794972049894,104.57305413077889,72
64.55086047551649,104.71367234071208,73
64.73098541118793,104.85723623421502,74
64.90834616547339,105.00370365743755,75
65.08296333037026,105.15303395805765,76
65.25485650270949,105.30518792689735,77
65.4240443319114,105.46012774385997,78
65.59054456487192,105.61781692790741,79
65.75437408813792,105.77822029081433,80
65.91554896752005,105.94130389445237,81
