angle1,angle2,step
90.0,270.0,0
90.44385240912493,269.5788106588252,1
90.88582453089073,269.1596626053544,2
91.32584590549547,268.7426272585719,3
91.76384818602605,268.3277740499591,4
92.19976516422295,267.9151703930166,5
92.63353279158711,267.50488165707486,6
93.06508919592193,267.0969711453298,7
93.4943746934178,266.6915000770274,8
93.92133179639784,266.2885275737081,9
94.3459052168553,265.88811064941365,10
94.76804186592311,265.49030420474503,11
95.18769084942458,265.0951610246553,12
95.60480345966249,264.70273177984944,13
96.01933316361071,264.31306503165825,14
96.43123558767748,263.9262072402464,15
96.84046849921488,263.5422027760079,16
97.24699178495229,263.16109393400137,17
97.65076742653402,262.78292095126903,18
98.05175947334361,262.40772202688424,19
98.44993401279744,262.03553334456933,20
98.8452591382907,261.66638909772297,21
99.23770491497757,261.3003215166982,22
99.62724334356622,260.93736089817014,23
100.01384832230644,260.5775356364349,24
100.39749560734562,260.2208722564824,25
100.77816277162391,259.86739544868664,26
101.15582916247698,259.5171281049621,27
101.530475858109,259.1700913562354,28
101.9020856230941,258.8263046110859,29
102.27064286305925,258.48578559541437,30
102.63613357869563,258.14855039300045,31
102.99854531923992,257.81461348681546,32
103.35786713556078,257.48398780096346,33
103.71408953297954,257.15668474312463,34
104.0672044239474,256.8327142473855,35
104.41720508069574,256.5120848173407,36
104.76408608796837,256.19480356936003,37
105.10784329593956,255.8808762759193,38
105.44847377341367,255.57030740889724,39
105.78597576139667,255.26310018274953,40
106.12034862712304,254.95925659747348,41
106.4515928186155,254.65877748128486,42
106.7797098198484,254.36166253293177,43
107.10470210658035,254.06791036357777,44
107.42657310291456,253.77751853819072,45
107.74532713864131,253.4904836163787,46
108.06096940740979,253.2068011926197,47
108.3735059257726,252.92646593583794,48
108.68294349314024,252.6494716282813,49
108.9892896526784,252.37581120366275,50
109.29255265317643,252.1054767845295,51
109.59274141191027,251.83845971883045,52
109.8898654785196,251.5747506156546,53
110.18393499991477,251.31433938011864,54
110.4749606862251,251.05721524738345,55
110.76295377779701,250.803366815785,56
111.04792601324675,250.55278207906645,57
111.3298895985699,250.30544845770274,58
111.60885717730638,250.06135282931027,59
111.88484180175753,249.82048155813877,60
112.15785690524923,249.58282052364348,61
112.42791627543255,249.3483551481387,62
112.69503402861186,249.11707042353615,63
112.9592245850877,248.8889509371725,64
113.220502645501,248.6639808967343,65
113.47888316816272,248.4421441542875,66
113.73438134735224,248.2234242294226,67
113.98701259256642,248.00780433152713,68
114.23679250870008,247.79526738119716,69
114.48373687713797,247.5857960308026,70
114.72786163773706,247.37937268422172,71
114.96918287167797,247.17597951575885,72
115.20771678516289,246.97559848826344,73
115.44347969393763,246.77821137046743,74
115.67648800861507,246.5837997535576,75
115.90675822077604,246.3923450670029,76
116.13430688982481,246.203828593654,77
116.35915063057548,246.01823148413465,78
116.58130610154552,245.83553477054386,79
116.80078999393285,245.65571937948886,80
117.01761902125341,245.47876614446753,81
117.23180990961545,245.30465581762041,82
117.44337938860775,245.13336908087172,83
117.65234418277866,244.96488655647897,84
117.85872100368351,244.7991888170102,85
118.06252654247838,244.6362563947692,86
118.2637774630378,244.47606979068627,87
118.46249039557539,244.31860948269505,88
118.65868193074635,244.16385593361287,89
118.85236861421053,244.0117895985436,90
119.04356694163693,243.86239093182132,91
119.23229335412883,243.71564039351233,92
119.41856423405125,243.5715184554929,93
119.60239590124125,243.43000560712036,94
119.78380460958348,243.29108236051434,95
119.9628065439327,243.1547292554637,96
120.1394178173664,243.02092686397685,97
120.31365446875057,242.88965579448973,98
120.4855324606029,242.7608966957475,99
120.655067677237,242.63463026037462,100
120.8222759231731,242.51083722814792,101
120.98717292180018,242.38949838898702,102
121.14977431427569,242.27059458567518,103
121.31009565864879,242.15410671632483,104
121.46815242919435,242.04001573659986,105
121.6239600159447,241.92830266170765,106
121.77753372440695,241.81894856817337,107
121.9288887754543,241.71193459540714,108
122.07804030537979,241.60724194707691,109
122.2250033661017,241.50485189229695,110
122.36979292551031,241.404745766643,111
122.51242386794577,241.3069049730042,112
122.65291099479762,241.21131098228255,113
122.79126902521668,241.11794533394752,114
122.92751259693073,241.02678963645704,115
123.06165626715513,240.93782556755298,116
123.19371451359083,240.85103487443874,117
123.32370173550149,240.76639937384888,118
123.45163225486311,240.6839009520171,119
123.57752031757835,240.60352156455096,120
123.70138009474937,240.52524323622055,121
123.8232256840027,240.44904806066774,122
123.94307111085999,240.37491820004297,123
124.06093033014899,240.30283588457561,124
124.17681722744899,240.23278341208461,125
124.29074562056604,240.1647431474347,126
124.40272926103232,240.09869752194393,127
124.51278183562552,240.03462903274786,128
124.62091696790341,239.97252024212577,129
124.72714821974967,239.9123537767932,130
124.8314890929267,239.85411232716572,131
124.93395303063197,239.79777864659857,132
125.0345534190539,239.7433355506058,133
125.13330358892439,239.69076591606336,134
125.23021681706452,239.64005268039958,135
125.32530632792056,239.59117884077676,136
125.41858529508745,239.54412745326738,137
125.51006684281712,239.4988816320275,138
125.5997640475093,239.45542454847154,139
125.68768993918222,239.4137394304493,140
125.77385750292144,239.373809561431,141
125.85827968030459,239.33561827969874,142
125.94096937079995,239.29914897755103,143
126.02193943313766,239.2643851005189,144
126.10120268665149,239.2313101465984,145
126.17877191258978,239.19990766549972,146
126.2546598553944,239.17016125791523,147
126.32887922394619,239.14205457480847,148
126.40144269277606,239.11557131672512,149
126.47236290324025,239.09069523312718,150
126.54165246465934,239.06741012175277,151
126.60932395541965,239.04569982800092,152
126.67538992403688,239.02554824434452,153
126.73986289018046,239.00693930977033,154
126.80275534565892,238.9898570092487,155
126.8640797553653,238.9742853732325,156
126.923848558182,238.9602084771864,157
126.98207416784527,238.94761044114784,158
127.03876897376851,238.9364754293181,159
127.09394534182438,238.92678764968707,160
127.14761561508566,238.91853135368842,161
127.19979211452448,238.91169083588878,162
127.25048713967021,238.90625043370875,163
127.29971296922564,238.90219452717741,164
127.34748186164194,238.89950753871915,165
127.39380605565202,238.89817393297392,166
127.43869777076307,238.8981782166504,167
127.48216920770776,238.8995049384115,168
127.52423254885494,238.902138688793,169
127.56489995857996,238.90606410015465,170
127.60418358359472,238.91126584666267,171
127.64209555323804,238.91772864430524,172
127.67864797972696,238.92543725093853,173
127.71385295836863,238.93437646636454,174
127.7477225677344,238.94453113243898,175
127.78026886979545,238.95588613321013,176
127.81150391002146,238.96842639508654,177
127.84143971744203,238.9821368870347,178
127.87008830467244,238.99700262080466,179
127.89746166790302,239.0130086511842,180
127.92357178685435,239.03014007627965,181
127.94843062469722,239.0483820378245,182
127.97205012793981,239.06771972151265,183
127.99444222628104,239.08813835735853,184
128.01561883243235,239.10962322008024,185
128.03559184190757,239.13215962950815,186
128.05437313278196,239.15573295101507,187
128.07197456542136,239.18032859596994,188
128.08840798218202,239.20593202221255,189
128.103685207082,239.2325287345491,190
128.11781804544486,239.26010428526743,191
128.13081828351633,239.28864427467178,192
128.1426976880551,239.3181343516356,193
128.1534680058984,239.34856021417167,194
128.16314096350303,239.37990761001902,195
128.17172826646302,239.41216233724543,196
128.1792415990043,239.4453102448648,197
128.18569262345798,239.47933723346867,198
128.19109297971204,239.5142292558703,199
128.19545428464343,239.54997231776224,200
128.19878813153062,239.58655247838374,201
128.2011060894477,239.62395585119984,202
128.2024197026411,239.66216860458994,203
128.20274048988958,239.70117696254445,204
128.2020799438483,239.7409672053706,205
128.20044953037814,239.7815256704044,206
128.19786068786084,239.822838752729,207
128.1943248265008,239.8648929058992,208
128.1898533276148,239.9076746426695,209
128.1844575429099,239.95117053572645,210
128.17814879375098,239.99536721842432,211
128.17093837041824,240.04025138552203,212
128.16283753135582,240.0858097939223,213
128.15385750241228,240.1320292634104,214
128.1440094760737,240.17889667739405,215
128.1333046106905,240.22639898364076,216
128.1217540296982,240.27452319501452,217
128.10936882083362,240.32325639020985,218
128.09616003534688,240.3725857144821,219
128.08213868721,240.42249838037486,220
128.06731575232322,240.47298166844146,221
128.05170216771916,240.52402292796216,222
128.03530883076638,240.5756095776555,223
128.01814659837225,240.6277291063819,224
128.00022628618672,240.68036907384138,225
127.98155866780682,240.7335171112625,226
127.9621544739833,240.7871609220831,227
127.94202439182983,240.84128828262234,228
127.92117906403514,240.89588704274254,229
127.89962908807955,240.95094512650115,230
127.87738501545564,241.00645053279214,231
127.8544573508943,241.06239133597578,232
127.83085655159654,241.11875568649708,233
127.80659302647173,241.17553181149205,234
127.78167713538284,241.2327080153807,235
127.75611918839931,241.29027268044788,236
127.72992944505793,241.34821426740956,237
127.7031181136326,241.40652131596613,238
127.67569535041315,241.4651824453406,239
127.64767125899392,241.52418635480248,240
127.61905588957268,241.58352182417676,241
127.58985923826012,241.64317771433684,242
127.56009124640053,241.70314296768274,243
127.52976179990414,241.76340660860234,244
127.49888072859154,241.8239577439169,245
127.46745780555047,241.88478556331,246
127.43550274650546,241.9458793397395,247
127.40302520920078,242.00722842983257,248
127.37003479279699,242.0688222742636,249
127.33654103728139,242.13065039811454,250
127.30255342289267,242.19270241121782,251
127.26808136956032,242.2549680084814,252
127.23313423635878,242.31743697019618,253
127.19772132097671,242.3800991623249,254
127.16185185920199,242.44294453677372,255
127.12553502442188,242.5059631316449,256
127.08877992713951,242.56914507147152,257
