displacement_x,displacement_y,displacement_z,step
0.0,0.0,0.0,0
2.0,-2.0,0.0,1
1.9987223257547684,-1.99836644448306,0.0,2
1.9973995332169114,-1.9967041473036202,0.0,3
1.9960330078386637,-1.995015874966692,0.0,4
1.9946243847808223,-1.9933043857778405,0.0,5
1.993175480197099,-1.9915723813463198,0.0,6
1.9916882262941826,-1.989822460845683,0.0,7
1.9901646127360308,-1.9880570808526992,0.0,8
1.9886066361273205,-1.986278522687091,0.0,9
1.9870162585092315,-1.9844888682713586,0.0,10
1.9853953750925635,-1.9826899847233164,0.0,11
1.9837457908771285,-1.9808835172466877,0.0,12
1.982069205379049,-1.9790708894227511,0.0,13
1.9803672044077398,-1.9772533097250187,0.0,14
1.9786412576876118,-1.9754317829558445,0.0,15
1.976892721083646,-1.9736071253053586,0.0,16
1.9751228422393128,-1.9717799818230914,0.0,17
1.9733327685442563,-1.9699508452378551,0.0,18
1.9715235564945566,-1.9681200752341534,0.0,19
1.9696961816708733,-1.9662879174725552,0.0,20
1.9678515487242536,-1.9644545218125566,0.0,21
1.965990500914955,-1.962619959350584,0.0,22
1.9641138288892428,-1.9607842380182918,0.0,23
1.962222278498709,-1.9589473165959497,0.0,24
1.96031655756482,-1.9571091170830894,0.0,25
1.9583973415683706,-1.955269535435769,0.0,26
1.9564652783008483,-1.9534284507293636,0.0,27
1.9545209915546984,-1.9515857328405337,0.0,28
1.9525650839547501,-1.9497412487646133,0.0,29
1.950598139046369,-1.9478948676976544,0.0,30
1.9486207227598953,-1.946046465017841,0.0,31
1.9466333843679728,-1.9441959253008525,0.0,32
1.9446366570445945,-1.9423431444994794,0.0,33
1.94263105812381,-1.940488031410672,0.0,34
1.9406170891434869,-1.9386305085441526,0.0,35
1.9385952357463654,-1.9367705124965975,0.0,36
1.9365659674977242,-1.9349079939247236,0.0,37
1.9345297376668102,-1.933042917199905,0.0,38
1.9324869830081997,-1.9311752598164944,0.0,39
1.930438123569569,-1.929305011616091,0.0,40
1.9283835625441164,-1.927432173880725,0.0,41
1.9263236861790296,-1.9255567583394337,0.0,42
1.924258863745865,-1.9236787861250197,0.0,43
1.9221894475744068,-1.921798286710934,0.0,44
1.920115773148312,-1.9199152968522073,0.0,45
1.9180381592585354,-1.9180298595490954,0.0,46
1.915956908208965,-1.9161420230476256,0.0,47
1.913872306067771,-1.9142518398873924,0.0,48
1.9117846229575455,-1.9123593660037663,0.0,49
1.90969411337726,-1.9104646598890391,0.0,50
1.907601016549321,-1.9085677818148732,0.0,51
1.9055055567854362,-1.906668793116731,0.0,52
1.903407943865594,-1.9047677555395939,0.0,53
1.901308373425099,-1.9028647306432869,0.0,54
1.8992070273453039,-1.9009597792649588,0.0,55
1.8971040741443588,-1.8990529610357485,0.0,56
1.8949996693649651,-1.8971443339483343,0.0,57
1.8928939559567342,-1.8952339539718643,0.0,58
1.8907870646513207,-1.8933218747107083,0.0,59
1.8886791143290083,-1.8914081471034807,0.0,60
1.8865702123758608,-1.889492819158896,0.0,61
1.8844604550309456,-1.8875759357251525,0.0,62
1.8823499277234435,-1.885657538289726,0.0,63
1.880238705399738,-1.8837376648066753,0.0,64
1.8781268528407762,-1.8818163495487563,0.0,65
1.8760144249701747,-1.8798936229819057,0.0,66
1.873901467153655,-1.8779695116598432,0.0,67
1.8717880154904967,-1.8760440381367962,0.0,68
1.8696740970977412,-1.874117220896537,0.0,69
1.8675597303879226,-1.8721890742961433,0.0,70
1.8654449253411038,-1.8702596085230632,0.0,71
1.863329683771999,-1.868328829564256,0.0,72
1.8612139995929267,-1.8663967391863268,0.0,73
1.8590978590733234,-1.8644633349257214,0.0,74
1.8569812410964919,-1.862528610088182,0.0,75
1.854864117414217,-1.860592553756779,0.0,76
1.8527464528998294,-1.8586551508079314,0.0,77
1.850628205800241,-1.8567163819349333,0.0,78
1.848509327987425,-1.8547762236785705,0.0,79
1.8463897652097465,-1.8528346484644935,0.0,80
1.8442694573435077,-1.8508916246470577,0.0,81
1.8421483386450044,-1.8489471165594145,0.0,82
1.8400263380033401,-1.8470010845696527,0.0,83
1.8379033791942019,-1.8450534851428566,0.0,84
1.835779381134735,-1.8431042709089462,0.0,85
1.833654258139623,-1.8411533907362108,0.0,86
1.8315279201784262,-1.8392007898104539,0.0,87
1.8294002731341914,-1.837246409719687,0.0,88
1.8272712190633065,-1.8352901885443111,0.0,89
1.8251406564565347,-1.833332060952738,0.0,90
1.8230084805011324,-1.8313719583024006,0.0,91
1.8208745833439153,-1.8294098087461066,0.0,92
1.8187388543551166,-1.8274455373436729,0.0,93
1.8166011803928424,-1.8254790661787892,0.0,94
1.8144614460679118,-1.823510314481038,0.0,95
1.812319534008847,-1.8215391987529965,0.0,96
1.8101753251267443,-1.8195656329023262,0.0,97
1.8080286988797547,-1.817589528378753,0.0,98
1.8058795335368751,-1.8156107943158222,0.0,99
1.803727706440732,-1.8136293376772912,0.0,100
1.80157309426904,-1.811645063408022,0.0,101
1.7994155732943906,-1.809657874589206,0.0,102
1.797255019642027,-1.8076676725977472,0.0,103
1.7950913095452465,-1.8056743572695995,0.0,104
1.7929243195980706,-1.8036778270668603,0.0,105
1.7907539270048134,-1.8016779792483772,0.0,106
1.7885800098261826,-1.7996747100436326,0.0,107
1.7864024472215414,-1.797667914829643,0.0,108
1.784221119686958,-1.7956574883105916,0.0,109
1.7820359092886864,-1.7936433246999097,0.0,110
1.7798466998917037,-1.7916253179044987,0.0,111
1.7776533773829573,-1.78960336171077,0.0,112
1.7754558298889682,-1.7875773499721763,0.0,113
