displacement_x,displacement_y,displacement_z,step
0.0,0.0,0.0,0
2.0,-2.0,0.0,1
1.9994889303019074,-1.999346577793224,0.0,2
1.9989700937733201,-1.9986867643917092,0.0,3
1.998443502772571,-1.9980206645060683,0.0,4
1.997909175180896,-1.997348384859157,0.0,5
1.9973671342111885,-1.996670033995483,0.0,6
1.996817408206688,-1.9959857220838764,0.0,7
1.9962600304309417,-1.9952955607148393,0.0,8
1.9956950388503563,-1.9945996626939806,0.0,9
1.9951224759106658,-1.9938981418329245,0.0,10
1.994542388308599,-1.9931911127390407,0.0,11
1.9939548267600027,-1.9924786906053005,0.0,12
1.99335984576565,-1.9917609910015122,0.0,13
1.9927575033758949,-1.9910381296681088,0.0,14
1.9921478609553018,-1.990310222313605,0.0,15
1.9915309829483077,-1.9895773844167501,0.0,16
1.9909069366469159,-1.988839731034313,0.0,17
1.990275791961356,-1.988097376615372,0.0,18
1.9896376211945739,-1.9873504348228546,0.0,19
1.9889924988213366,-1.9865990183630138,0.0,20
1.9883405012726807,-1.985843238823415,0.0,21
1.9876817067263408,-1.985083206519922,0.0,22
1.9870161949037317,-1.9843190303530835,0.0,23
1.9863440468739824,-1.983550817674229,0.0,24
1.985665344865446,-1.9827786741615048,0.0,25
1.9849801720850426,-1.9820027037059986,0.0,26
1.984288612545722,-1.9812230083080213,0.0,27
1.9835907509022657,-1.9804396879835555,0.0,28
1.9828866722955945,-1.9796528406808014,0.0,29
1.9821764622056692,-1.9788625622067029,0.0,30
1.9814602063130478,-1.9780689461632752,0.0,31
1.9807379903690712,-1.9772720838935025,0.0,32
1.9800099000746423,-1.9764720644365497,0.0,33
1.9792760209674807,-1.975668974491966,0.0,34
1.9785364383177284,-1.9748628983925522,0.0,35
1.977791237031724,-1.9740539180855181,0.0,36
1.977040501563739,-1.973242113121547,0.0,37
1.9762843158354406,-1.9724275606513515,0.0,38
1.9755227631628243,-1.9716103354293077,0.0,39
1.9747559261903307,-1.9707905098237357,0.0,40
1.9739838868318524,-1.9699681538333862,0.0,41
1.9732067262183213,-1.9691433351097023,0.0,42
1.9724245246515486,-1.9683161189844183,0.0,43
1.9716373615639957,-1.967486568502054,0.0,44
1.9708453154841372,-1.9666547444568938,0.0,45
1.9700484640070797,-1.9658207054340182,0.0,46
1.9692468837701047,-1.9649845078539894,0.0,47
1.9684406504328007,-1.9641462060207904,0.0,48
1.9676298386614501,-1.9633058521726394,0.0,49
1.9668145221173603,-1.962463496535313,0.0,50
1.9659947734488097,-1.961619187377624,0.0,51
1.9651706642863154,-1.9607729710687218,0.0,52
1.9643422652409175,-1.9599248921368986,0.0,53
1.9635096459052015,-1.9590749933295943,0.0,54
1.9626728748567843,-1.9582233156743305,0.0,55
1.9618320196640018,-1.9573698985402908,0.0,56
1.9609871468935556,-1.9565147797003146,0.0,57
1.9601383221198831,-1.9556579953930673,0.0,58
1.9592856099360318,-1.9547995803851703,0.0,59
1.9584290739658328,-1.953939568033102,0.0,60
1.9575687768771801,-1.9530779903446793,0.0,61
1.9567047803962434,-1.9522148780399649,0.0,62
1.9558371453224406,-1.9513502606114412,0.0,63
1.9549659315440282,-1.9504841663833217,0.0,64
1.954091198054166,-1.9496166225698748,0.0,65
1.953213002967333,-1.9487476553326568,0.0,66
1.9523314035359782,-1.9478772898365533,0.0,67
1.9514464561673115,-1.94700555030455,0.0,68
1.9505582164401356,-1.9461324600711587,0.0,69
1.949666739121646,-1.945258041634441,0.0,70
1.9487720781841247,-1.9443823167065724,0.0,71
1.9478742868214718,-1.9435053062629137,0.0,72
1.9469734174655204,-1.9426270305895517,0.0,73
1.9460695218020931,-1.9417475093292815,0.0,74
1.945162650786765,-1.9408667615260273,0.0,75
1.9442528546603066,-1.9399848056676727,0.0,76
1.9433401829637829,-1.9391016597273156,0.0,77
1.9424246845532953,-1.938217341202936,0.0,78
1.9415064076143564,-1.937331867155495,0.0,79
1.9405853996758924,-1.9364452542454733,0.0,80
1.9396617076238751,-1.935557518767865,0.0,81
1.9387353777145837,-1.9346686766856547,0.0,82
1.937806455587507,-1.9337787436617966,0.0,83
1.9368749862778967,-1.9328877350897264,0.0,84
1.9359410142289817,-1.9319956661224404,0.0,85
1.9350045833038627,-1.931102551700168,0.0,86
1.9340657367971041,-1.9302084065766827,0.0,87
1.9331245174460385,-1.9293132453442812,0.0,88
1.9321809674418096,-1.9284170824574747,0.0,89
1.931235128440171,-1.9275199322554322,0.0,90
1.9302870415720634,-1.9266218089832143,0.0,91
1.9293367474539946,-1.925722726811846,0.0,92
1.9283842861982423,-1.9248226998572615,0.0,93
1.9274296974229046,-1.9239217421981776,0.0,94
1.9264730202618168,-1.9230198678929256,0.0,95
1.9255142933743628,-1.922117090995296,0.0,96
1.924553554955196,-1.9212134255694304,0.0,97
1.9235908427438944,-1.920308885703811,0.0,98
1.9226261940345681,-1.9194034855243878,0.0,99
1.92165964568544,-1.918497239206879,0.0,100
1.920691234128416,-1.9175901609883015,0.0,101
1.919720995378663,-1.916682265177754,0.0,102
1.9187489650442107,-1.915773566166505,0.0,103
1.9177751783355914,-1.9148640784374218,0.0,104
1.916799670075532,-1.913953816573776,0.0,105
1.91582247470871,-1.9130427952674645,0.0,106
1.9148436263115864,-1.9121310293266818,0.0,107
1.9138631586023238,-1.9112185336830785,0.0,108
1.912881104950799,-1.9103053233984397,0.0,109
1.911897498388718,-1.909391413670916,0.0,110
1.91091237161984,-1.908476819840837,0.0,111
1.9099257570303132,-1.9075615573961398,0.0,112
1.9089376866991326,-1.90664564197744,0.0,113
