angle1,angle2,step
90.0,270.0,0
91.80271527960042,268.2889530612337,1
93.57491892812881,266.6092733550353,2
95.31297413024188,264.9647273197291,3
97.01384529226041,263.3585058930369,4
98.67508896523354,261.79322641387296,5
100.29482957033576,260.2709496917781,6
101.87172320072936,258.79320937419243,7
103.40491281573829,257.3610506018661,8
104.8939779547758,255.97507502845156,9
106.33888174855741,254.635489534495,10
107.73991756048002,253.34215632926882,11
109.09765710951952,252.09464255184184,12
110.41290145277988,250.89226791080313,13
111.6866357724673,249.73414930702478,14
112.91998853745594,248.6192417441624,15
114.11419530214839,247.54637513572618,16
115.27056716550686,246.5142868619699,17
116.39046373610644,245.52165011671482,18
117.47527032690319,244.56709821932782,19
118.52637902682072,243.6492451580596,20
119.54517325582816,242.76670268605235,21
120.53301539717879,241.91809431846895,22
121.49123710728806,241.10206658548552,23
122.4211319240271,240.31729788734472,24
123.32394982295959,239.56250527919414,25
124.20089340439615,238.83644948883634,26
125.05311542924483,238.13793844268903,27
125.88171745649524,237.46582954626533,28
126.6877493684548,236.81903093679355,29
127.47220960073196,236.19650189816375,30
128.2360459219867,235.59725260279788,31
128.98015663347104,235.0203433216207,32
129.7053920803685,234.46488322218303,33
130.41255638604693,233.9300288561695,34
131.10240933677284,233.41498242091612,35
131.77566835843598,232.91898986504606,36
132.43301053867003,232.44133889573604,37
133.07507465767787,231.9813569342768,38
133.70246319933383,231.53840905731394,39
134.31574432096085,231.1118959532768,40
134.91545376578114,230.70125191685503,41
135.50209670659584,230.30594289882325,42
136.0761495129271,229.92546462388975,43
136.63806143679636,229.55934078544237,44
137.18825621463688,229.20712132296038,45
137.72713358465586,228.86838078535686,46
138.25507072035583,228.5427167815217,47
138.7724235819781,228.22974851777244,48
139.2795281884035,227.92911542071232,49
139.77670181259188,227.64047584309466,50
140.26424410400884,227.36350584963196,51
140.74243814170958,227.0978980792359,52
141.21155142186097,226.84336067988076,53
141.67183678350503,226.59961631212394,54
142.12353327632388,226.36640121725966,55
142.56686697407326,226.14346434610388,56
143.00205173722404,225.93056654449418,57
143.42928992819597,225.72747979171507,58
143.84877308240064,225.5339864882208,59
144.26068253813003,225.34987878921072,60
144.66519002814607,225.17495798080577,61
145.0624582356427,225.0090338957777,62
145.45264131707322,224.85192436598575,63
145.83588539416223,224.70345470887497,64
146.21232901725355,224.56345724558594,65
146.582103601987,224.431770848413,66
146.94533384114692,224.30824051552557,67
147.30213809338298,224.19271697103616,68
147.652628750373,224.0850562886556,69
147.9969125838728,223.9851195373236,70
148.33509107398362,223.89277244733913,71
148.66726071986275,223.8078850956408,72
148.99351333400313,223.73033160900462,73
149.31393632111758,223.65998988403194,74
149.6286129425801,223.59674132289962,75
149.93762256729966,223.5404705839321,76
150.24104090983033,223.4910653461386,77
150.53894025645832,223.44841608693116,78
150.83138967994543,223.41241587230775,79
151.11845524355456,223.3829601588456,80
151.40020019493298,223.35994660690588,81
151.6766851503824,223.34327490450025,82
151.94796827000485,223.33284660131673,83
152.21410542417274,223.32856495244175,84
152.47515035173814,223.33033477135396,85
152.73115481036442,223.33806229179697,86
152.98216871933323,223.3516550381694,87
153.2282402951546,223.3710217040968,88
153.46941618028316,223.39607203887365,89
153.70574156522196,223.42671674148582,90
153.93726030427587,223.4628673619411,91
154.164015025198,223.50443620965424,92
154.38604723295774,223.55133626864514,93
154.60339740784318,223.60348111932387,94
154.8161050980995,223.66078486664506,95
155.02420900729123,223.72316207442555,96
155.2277470765685,223.79052770562595,97
155.42675656200632,223.86279706840392,98
155.62127410717963,223.93988576775274,99
155.81133581112832,224.02170966254278,100
155.99697729186227,224.10818482778726,101
156.17823374554987,224.19922752195643,102
156.35514000152952,224.2947541591654,103
156.52773057328045,224.39468128606353,104
156.69603970548496,224.49892556325202,105
156.8601014173136,224.60740375105775,106
157.0199495420603,224.72003269949118,107
157.1756177632551,224.83672934221389,108
157.32713964738,224.95741069434226,109
157.4745486733119,225.08199385391165,110
157.61787825861757,225.21039600682408,111
157.7571617828238,225.34253443510164,112
157.89243260778613,225.47832652826585,113
158.02372409527976,225.61768979766276,114
158.15106962193522,225.7605418935514,115
158.27450259164306,225.90680062477298,116
158.39405644554947,226.0563839808175,117
158.5097646697669,226.20921015610284,118
158.62166080092211,226.36519757628332,119
158.7297784296647,226.5242649264018,120
158.83415120225783,226.6863311807032,121
158.93481282037393,226.85131563392585,122
159.0317970392154,227.0191379338889,123
159.1251376640809,227.18971811519708,124
159.21486854549664,227.3629766338838,125
159.3010235730294,227.5388344028188,126
159.38363666789851,227.71721282770818,127
159.46274177450013,227.8980338435181,128
159.53837285095668,228.08121995115835,129
159.6105638588009,228.2666942542656,130
159.6793487519029,228.45438049593147,131
159.74476146474305,228.6442030952259,132
159.80683590013456,228.83608718337103,133
159.86560591649265,229.0299586394284,134
159.92110531474586,229.2257441253671,135
159.973367824981,229.42337112038837,136
160.02242709290917,229.62276795438797,137
160.06831666623688,229.82386384044594,138
160.11106998102161,230.02658890623997,139
160.15072034808708,230.23087422428603,140
160.18730093956958,230.43665184091915,141
160.22084477566202,230.6438548039321,142
160.25138471161742,230.8524171888009,143
160.27895342507009,231.06227412343165,144
160.30358340372712,231.27336181137125,145
160.32530693347894,231.48561755343417,146
160.3441560869729,231.69897976770193,147
160.36016271268932,231.9133880078638,148
160.37335842455488,232.12878297986975,149
160.38377459212472,232.34510655687836,150
160.39144233135838,232.56230179248644,151
160.3963924960128,232.78031293223594,152
160.39865566967038,232.99908542339816,153
160.3982621584151,233.21856592304388,154
160.3952419841689,233.43870230441215,155
160.38962487869344,233.65944366159724,156
