arm1,arm2,arm3,step
1.4142135623730951,1.4142135623730951,1.4142135623730951,0
1.3871787596716934,1.3834118636109893,1.3861509779000638,1
1.3617352224691728,1.3550709032503836,1.35973773050161,2
1.3377867798849157,1.3290298488605925,1.3348849269390841,3
1.3152419955696593,1.3051253708355248,1.311506802051534,4
1.2940148424905755,1.2831941970300023,1.2895213926336435,5
1.2740250464155807,1.2630754396696358,1.2688509404332453,6
1.2551981443122922,1.2446126397191426,1.2494220582957472,7
1.2374653139117817,1.2276554929164114,1.2311657027127594,8
1.220763034240806,1.2120612401628699,1.2140169999838042,9
1.2050326350491183,1.197695721688729,1.1979149725836309,10
1.190219787151942,1.1844341085227288,1.1828022081987233,11
1.1762739772556823,1.1721613358071445,1.168624507437549,12
1.1631480012004323,1.1607722702789645,1.1553305385619788,13
1.1507974998511528,1.1501716489443243,1.1428715196928818,14
1.1391805529140264,1.140273827967063,1.1312009415386697,15
1.1282573382587955,1.1310023805542404,1.1202743372626394,16
1.1179898581438084,1.1222895806753574,1.1100491008999591,17
1.1083417291149562,1.1140758063064862,1.1004843518316518,18
1.0992780291854225,1.1063088920002255,1.091540840160664,19
1.0907651940139724,1.098943456326961,1.0831808862671988,20
1.0827709529556924,1.0919402254103865,1.0753683471542559,21
1.075264295821122,1.0852653696100376,1.0680686022228312,22
1.0682154617213864,1.0788898665357627,1.0612485516405437,23
1.0615959422987968,1.072788900105905,1.0548766213107945,24
1.0553784927787007,1.0669413023294325,1.0489227694643908,25
1.0495371454984364,1.0613290419150756,1.0433584909661342,26
1.044047221775838,1.0559367616761854,1.0381568164698733,27
1.0388853391052324,1.050751364980629,1.0332923045089795,28
1.0340294116705766,1.0457616501525888,1.028741025440079,29
1.0294586430207129,1.0409579907243651,1.0244805368493621,30
1.0251535104532377,1.0363320587160276,1.0204898505798428,31
1.0210957412049195,1.0318765876445246,1.0167493919512034,32
1.017268280959088,1.0275851716893882,1.013240952034146,33
1.0136552554695486,1.0234520973306709,1.0099476340249571,34
1.010241926284267,1.0194722037912745,1.006853794860972,35
1.0070146416486967,1.0156407687297915,1.0039449832415317,36
1.0039607836958975,1.0119534158149917,1.0012078751884144,37
1.0010687130048628,1.0084060410468698,0.9986302082093705,38
0.998327711544116,1.0049947549533467,0.9962007150311136,39
0.9957279249270012,1.0017158380713531,0.9939090577545142,40
0.993260304798411,0.9985657074043707,0.9917457631633717,41
0.9909165520581786,0.9955408918265206,0.9897021597956546,42
0.9886890615104195,0.9926380146693051,0.9877703172674628,43
0.9865708684155168,0.9898537819764474,0.985942988228688,44
0.9845555973156154,0.9871849751418708,0.9842135532277435,45
0.982637413407686,0.9846284468540444,0.9825759686721538,46
0.9808109766517576,0.9821811194560143,0.9810247179927942,47
0.9790713987264249,0.979839984994621,0.9795547660521892,48
0.9774142028792179,0.9776021063754536,0.978161516781051,49
0.9758352866655436,0.975464619163202,0.9768407739814832,50
0.9743308875259862,0.9734247336717439,0.9755887051990719,51
0.9728975511169589,0.9714797370762076,0.9744018085384402,52
