step,arm_length0,arm_length1
0,0.9639771656720378,0.9639771656720378
1,0.9639771656720378,0.9639771656720378
2,0.9639771656720378,0.9639771656720378
3,0.9639771656720378,0.9639771656720378
4,0.9639771656720378,0.9639771656720378
5,0.9639771656720378,0.9639771656720378
6,0.9639771656720378,0.9639771656720378
7,0.9639771656720378,0.9639771656720378
8,0.9639771656720378,0.9639771656720378
9,0.9639771656720378,0.9639771656720378
10,0.9639771656720378,0.9639771656720378
11,0.9639771656720378,0.9639771656720378
12,0.9639771656720378,0.9639771656720378
13,0.9639771656720378,0.9639771656720378
14,0.9639771656720378,0.9639771656720378
15,0.9639771656720378,0.9639771656720378
16,0.9639771656720378,0.9639771656720378
17,0.9639771656720378,0.9639771656720378
18,0.9639771656720378,0.9639771656720378
19,0.9639771656720378,0.9639771656720378
20,0.9639771656720378,0.9639771656720378
21,0.9639771656720378,0.9639771656720378
22,0.9639771656720378,0.9639771656720378
23,0.9639771656720378,0.9639771656720378
24,0.9639771656720378,0.9639771656720378
25,0.9639771656720378,0.9639771656720378
26,0.9639771656720378,0.9639771656720378
27,0.9639771656720378,0.9639771656720378
28,0.9639771656720378,0.9639771656720378
29,0.9639771656720378,0.9639771656720378
30,0.9639771656720378,0.9639771656720378
31,0.9639771656720378,0.9639771656720378
32,0.9639771656720378,0.9639771656720378
33,0.9639771656720378,0.9639771656720378
34,0.9639771656720378,0.9639771656720378
35,0.9639771656720378,0.9639771656720378
36,0.9639771656720378,0.9639771656720378
37,0.9639771656720378,0.9639771656720378
38,0.9639771656720378,0.9639771656720378
39,0.9639771656720378,0.9639771656720378
40,0.9639771656720378,0.9639771656720378
41,0.9639771656720378,0.9639771656720378
42,0.9639771656720378,0.9639771656720378
43,0.9639771656720378,0.9639771656720378
44,0.9639771656720378,0.9639771656720378
45,0.9639771656720378,0.9639771656720378
46,0.9639771656720378,0.9639771656720378
47,0.9639771656720378,0.9639771656720378
48,0.9639771656720378,0.9639771656720378
49,0.9639771656720378,0.9639771656720378
50,0.9639771656720378,0.9639771656720378
51,0.9639771656720378,0.9639771656720378
52,0.9639771656720378,0.9639771656720378
53,0.9639771656720378,0.9639771656720378
54,0.9639771656720378,0.9639771656720378
55,0.9639771656720378,0.9639771656720378
56,0.9639771656720378,0.9639771656720378
57,0.9639771656720378,0.9639771656720378
58,0.9639771656720378,0.9639771656720378
59,0.9639771656720378,0.9639771656720378
60,0.9639771656720378,0.9639771656720378
61,0.9639771656720378,0.9639771656720378
62,0.9639771656720378,0.9639771656720378
63,0.9639771656720378,0.9639771656720378
64,0.9639771656720378,0.9639771656720378
65,0.9639771656720378,0.9639771656720378
66,0.9639771656720378,0.9639771656720378
67,0.9639771656720378,0.9639771656720378
